,ds,ts
0,0,2
1,1,7
2,2,5
3,3,22
4,4,19
5,5,3
6,6,3
7,7,5
8,8,29
9,9,1
10,10,4
11,11,14
12,12,14
13,13,16
14,14,2
15,15,7
16,16,6
17,17,17
18,18,15
19,19,9
20,20,42
21,21,18
22,22,20
23,23,13
24,24,26
25,25,13
26,26,46
27,27,48
28,28,10
29,29,21
30,30,7
31,31,14
32,32,14
33,33,14
34,34,7
35,35,71
36,36,16
37,37,75
38,38,62
39,39,86
40,40,139
41,41,72
42,42,36
43,43,20
44,44,3
45,45,1
46,46,3
47,47,0
48,48,16
49,49,18
50,50,83
51,51,85
52,52,30
53,53,29
54,54,10
55,55,4
56,56,29
57,57,25
58,58,145
59,59,6
60,60,2
61,61,2
62,62,4
63,63,4
64,64,7
65,65,0
66,66,45
67,67,34
68,68,4
69,69,4
70,70,0
71,71,21
72,72,12
73,73,4
74,74,1
75,75,0
76,76,3
77,77,25
78,78,7
79,79,9
80,80,24
81,81,64
82,82,20
83,83,10
84,84,5
85,85,81
86,86,77
87,87,95
88,88,28
89,89,42
90,90,1
91,91,13
92,92,6
93,93,1
94,94,2
95,95,0
96,96,111
97,97,73
98,98,30
99,99,11
100,100,169
101,101,127
102,102,88
103,103,13
104,104,13
105,105,17
106,106,9
